Series Name,"Series Code","Country Name","Country Code","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Australia","AUS","26894.5064781818","27040.5102887513","27585.782806075","27878.8169473623","28297.9448224226","28325.0160604625","28769.1030094732","29468.8424715425","29388.5743635266","30250.3700609242","30790.9684924934","31318.0837448787","31823.6227486897","30729.8075830818","31780.2585285748","32995.138056256","33767.1612179806","34104.8306330869","35478.4267523247","36231.0161797299","36974.4509255049","36361.9422733113","36072.0398069721","37161.6791478602","38234.029887488","39223.1607674505","40203.3023270116","41309.8259685443","42767.7939690644","44369.2728270564","45558.753131278","45864.7680331103","47127.2781005515","47997.1371388983","49439.1222880846","50332.8748422221","50948.2249676411","52538.9755805727","53338.6027837258","53225.9510414936","53542.8337248074","54108.1110551111","55254.6062126847","55723.9482270935","56305.9790936359","56707.0220772116"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Austria","AUT","18101.9919477322","18943.1811467755","20002.5561105758","20864.8474583279","21650.4867976498","21629.0463028275","22659.317777419","23801.2675449624","23770.3662432365","25086.400193858","25520.74055574","25419.0096476102","25911.6609400039","26725.1907228527","26740.5772417596","27395.8726479906","28008.5545890344","28370.7178819139","29264.3235778252","30265.1932308117","31340.6812927165","32097.2410936755","32410.53977326","32313.7118722637","32962.8174189767","33790.4849857504","34537.7395746518","35220.8877426259","36442.2882333384","37664.9432792116","38842.8905195831","39184.8085972636","39636.4826114521","39815.2219533064","40651.2266155811","41281.2707559522","42496.3510516831","43937.7128905744","44440.055889928","42655.1921304813","43334.5089644691","44451.0001918473","44549.881698231","44299.3781845446","44245.1687398338","44195.8175947748"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Azerbaijan","AZE","","","","","","","","","","","","","","","","","","","","","2820.74098928477","2763.97687402653","2107.22274909674","1596.07657693818","1264.48276136377","1102.45914716982","1105.54839148596","1158.44094659188","1262.2475458617","1343.80871085587","1480.75665467711","1614.79211576914","1754.07360591124","1918.54363295971","2077.81226193597","2631.75897929512","3501.0418070593","4326.961571103","4692.91219198883","5023.79076476976","5215.02091177903","5152.6574441297","5194.7383773851","5425.90528451346","5505.98823646328","5500.31038244408"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Bahamas, The","BHS","28557.2929831826","28267.7549761254","26670.4046600873","28110.8825821057","22947.7759550065","19158.5195806463","19733.2220486742","21081.1215675056","23546.8218060926","29051.6435230038","30263.1156655524","26867.2036441022","28034.1230966961","28408.6330194151","31754.7740448558","32626.1338592727","32595.3375248432","32982.3838787699","33173.3477562975","34802.0944366213","33646.5794502205","31649.1269106923","29863.8713701593","29399.1479218521","29798.9829120834","30623.1156475742","31489.2981310959","33258.2213189723","31406.6253123044","34822.4842431959","35782.8043547061","36167.2345998328","36537.0479083933","35445.2872619172","35111.1742007615","35637.790660931","35852.2372555028","35685.8433236817","34218.4321261133","32234.2907730546","32238.1230185563","32016.6880321818","32642.0757302034","31165.2701259886","31580.5161812885","31776.0555852485"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Bahrain","BHR","","","","","","","","","","","21450.5527812046","19537.9587081644","17507.8734242864","18131.0725471132","18534.2249159413","17139.0701051307","16779.7366105066","17885.0193262292","18469.8463061012","17925.0719705653","18160.169359025","19651.3378518219","20432.1238850311","22497.0363758203","21894.5445475634","22185.4956273415","22500.0709757949","22561.7924046242","22919.3939628375","23047.0707154391","23243.5908841725","22697.6169188068","22258.1949327006","22335.93241802","22422.689937178","22343.537394919","22069.2804186367","22111.6800768009","21833.4119773416","21057.4207733626","20982.3404804452","20774.2449354934","21187.5418849515","22078.9904795856","22676.6258722851","22634.0856475674"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Bangladesh","BGD","512.12116271102","474.463205239521","401.460496468911","408.606343031521","440.603586350899","414.604799647261","428.379930498515","428.986965430566","447.239544667055","456.145380246379","447.69492353131","467.586708214764","465.250064443771","470.905314115661","480.831100272897","484.048019217214","491.135817664725","496.432876778173","495.403823207327","496.761646875158","512.096589499953","517.76369198638","533.887968876922","547.05141702178","556.29886468569","572.438453672363","585.716937119333","599.227533516935","617.292344070892","633.182734570131","653.80864003472","674.166972677693","687.383307540341","707.60509399929","732.748840884682","769.135980425315","809.473632727957","856.045947208307","897.189023767985","931.986506098107","972.909687682522","1024.0219568794","1078.28754620684","1129.99354846656","1184.86328330845","1248.45330989613"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Barbados","BRB","","","","","11645.7862647288","11354.2031844099","11781.0226161861","12144.0411017277","12671.7008431346","13609.4887993234","14146.0520792893","13827.5656930355","13109.4125544338","13138.2549977659","13573.8825707133","13681.8828040823","14332.2979784839","14652.6386394501","15110.1655087519","15594.456191607","15022.4855922476","14382.6600467367","13513.4637992095","13570.0998261226","13789.452099362","14010.9989686908","14508.5715627775","15131.9225214086","15629.0335442805","15616.3398977195","16247.3897043","15805.8387989809","15876.1684053345","16167.8601664288","16339.3835445902","16921.9354530327","17846.1906459118","18158.9453689196","18204.9210250915","17209.1403852262","16754.6285613995","16591.4820476566","16474.4983349043","16208.7222803767","16158.3544584222","16524.899501274"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Belarus","BLR","","","","","","","","","","","","","","","","","","","","","2890.5241663692","2854.52075070743","2574.82385165248","2373.89052136425","2098.62426279529","1886.47742528651","1945.83894756242","2176.69235022362","2370.18646740428","2461.82685103912","2616.91299263359","2754.66446971789","2912.12336094185","3139.12098642967","3522.48985117687","3880.01436974552","4294.22867163526","4684.98029099754","5180.71234438981","5203.85488670206","5621.93717466556","5938.22068048537","6047.87112888287","6110.90466736341","6212.91277243518","5967.05220384914"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Belgium","BEL","17849.4947135456","18527.1487401867","19432.03103295","20607.1809135777","21480.261317053","20997.2068325293","22144.5236139589","22255.6844094244","22866.8232310329","23381.1272443226","24393.2981775195","24325.8132752066","24477.1998826276","24555.480969759","25161.4909793831","25569.4893301131","26026.2804981502","26603.9280981301","27772.0520454683","28631.3190930238","29441.6621481593","29870.1477747077","30204.5637515713","29797.4063198776","30664.3078546408","31329.892072751","31681.9363634502","32804.3605402361","33376.5748398965","34479.9064484695","35674.7912530713","35943.2379602838","36393.2417665704","36617.3803840227","37761.2813189981","38426.0519083731","39147.7635597291","40290.2277563956","40151.8498740394","39025.2207908291","39777.9252767366","39929.0951439359","39975.5736402458","39970.3174974794","40421.4207919096","41008.296719472"
GDP per capita (constant 2015 US$),"NY.GDP.PCAP.KD","Belize","BLZ","1489.49658655526","1516.07470426207","1640.01686699702","1699.16473857097","1900.0189024529","1939.34919869525","1911.73428176717","2008.48196962196","2136.61023889775","2259.38844777581","2512.47751163253","2481.90391522866","2415.17384361954","2297.67602968734","2276.92444630458","2236.14688762395","2273.53774206169","2448.81020346693","2618.06021781864","2886.9211070746","3147.24333466631","3442.30165981095","3794.10287480428","3964.86098042413","3891.31725255084","3816.42468693277","3749.61527894854","3743.83633425871","3737.57694779095","3917.15496007343","4278.01687463302","4342.08872590695","4420.72442859483","4707.02739042172","4806.05551981113","4773.62388538477","4874.46835576616","4773.33409814765","4814.47703217125","4704.83474051575","4728.77362202713","4706.07299068839","4709.31061631799","4663.92151063062","4747.06709912106","4770.23265563888"
